season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
33,Survivor: Millennials vs. Gen X,12,Female,US0492,Sunday,Sunday Burquest,True,3,"Good luck, guys. Have fun."
33,Survivor: Millennials vs. Gen X,13,Male,US0494,Bret,Bret LaBelle,True,3,"David, good luck to you. The rest of you: you just lost a million dollars."
33,Survivor: Millennials vs. Gen X,13,Male,US0495,David,David Wright,True,2,"Playing survivor is the biggest dream i ever had, and i'm so glad i got to play it with all of you. But not vinaka."
34,Survivor: Game Changers,1,Female,US0406,Ciera,Ciera Eastin,True,4,Good luck everyone good job.
34,Survivor: Game Changers,7,Female,US0450,Hali,Hali Ford,True,4,I enjoyed meeting every one of you. May the best player win!
34,Survivor: Game Changers,7,Male,US0201,Ozzy,Oscar Lusth,True,4,Good job guys. Good luck eating.
34,Survivor: Game Changers,8,Female,US0470,Debbie,Debbie Wanner,True,4,Good luck to you all.
34,Survivor: Game Changers,9,Male,US0490,Zeke,Zeke Smith,True,4,Keep playing hard gang.
34,Survivor: Game Changers,10,Female,US0456,Sierra,Sierra Dawn Thomas,True,4,Yep. Privilege guys!
34,Survivor: Game Changers,12,Female,US0179,Cirie,Cirie Fields,True,4,Thank you jeff.
34,Survivor: Game Changers,12,Female,US0477,Aubry,Aubry Bracco,False,0,The full experience.
34,Survivor: Game Changers,12,Male,US0476,Tai,Tai Trang,False,0,Thank you jeff for a great season. Appreicate it. Thank you.
35,Survivor: Heroes vs. Healers vs. Hustlers,1,Female,US0499,Katrina,Katrina Radke,True,3,"Good luck, guys."
35,Survivor: Heroes vs. Healers vs. Hustlers,2,Female,US0500,Simone,Simone Nguyen,True,4,Bye.
35,Survivor: Heroes vs. Healers vs. Hustlers,4,Male,US0502,Alan,Alan Ball,True,3,"Good luck, everyone."
35,Survivor: Heroes vs. Healers vs. Hustlers,5,Female,US0503,Roark,Roark Luskin,True,3,"Good luck, guys."
35,Survivor: Heroes vs. Healers vs. Hustlers,8,Female,US0506,Desi,Desiree Williams,True,4,Good luck everyone.
35,Survivor: Heroes vs. Healers vs. Hustlers,9,Male,US0507,Cole,Cole Medders,True,4,"Good luck, guys. Have fun out there."
35,Survivor: Heroes vs. Healers vs. Hustlers,11,Female,US0510,Lauren,Lauren Rimmer,True,4,"Good luck, guys."
35,Survivor: Heroes vs. Healers vs. Hustlers,12,Female,US0511,Ashley,Ashley Nolan,True,3,"Good luck, you guys."
35,Survivor: Heroes vs. Healers vs. Hustlers,13,Male,US0512,Mike,Mike Zahalsky,True,2,"Good luck, everybody."
36,Survivor: Ghost Island,1,Male,US0518,Jacob,Jacob Derwin,True,4,Y'all did good.
36,Survivor: Ghost Island,2,Female,US0519,Morgan,Morgan Ricke,True,4,Don't trust the cute blondes.
36,Survivor: Ghost Island,4,Female,US0521,Stephanie,Stephanie Johnson,True,3,Bye guys.
36,Survivor: Ghost Island,5,Male,US0522,James,James Lim,True,4,"Great blindside, y'all. It's been a true pleasure playing with you all. Best of luck."
36,Survivor: Ghost Island,8,Female,US0525,Libby,Libby Vincek,True,4,"See you, guys."
36,Survivor: Ghost Island,9,Female,US0526,Desiree,Desiree Afuye,True,1,Ladies y'all better keep winning.
